,函數,參數0,參數1,參數2,參數3,參數4,參數5,參數6,參數7,參數8,參數9,參數10,參數11,參數12
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「當然是因為我想確定你對我有多瞭解。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""還真是不太瞭解……上次事件裡，幾乎都是透過台藝大那傢伙才跟妳有所交集。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「更何況這個地方，跟我可是頗有淵源呢。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「提示就是，我們有一支國內最著名的<class='bold'>大學運動隊伍</class>。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""輔仁在國內最著名的<class='bold'>大學運動隊伍</class>？那應該就是──""",,,,,,,,,,,
0,選項,"""足球隊""","""執行函數包""","""[['前往章節','a1-3-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q1']]""",,,,,,,,,,
0,選項,"""籃球隊""","""執行函數包""","""[['前往章節','a1-3-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q1']]""",,,,,,,,,,
0,選項,"""棒球隊""","""執行函數包""","""[['前往章節','a1-3-1'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',1],['儲存選項記錄','q1']]""",,,,,,,,,,
0,選項,"""排球隊""","""執行函數包""","""[['前往章節','a1-3-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q1']]""",,,,,,,,,,
wait,"""choose""",,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,a1-3-1,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「沒錯，就是棒球隊。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「輔仁棒球隊可是國內大學裡的實力派呢。許多職棒選手都是出自於我的棒球隊喔！」""",,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-4""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,a1-3-2,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「是棒球隊啦！果然""+MEM[""暱稱""]+""你真的是一點都不瞭解我的事。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""就算妳這麼說……不知道的事就是不知道。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-4""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-4,,,,,,,,,,,,,
0,背景,"""棒球場""",0,,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「所以妳所選的地點，應該就是棒球場吧。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""正如我的回答，「新莊棒球場」就是輔仁所選的場地。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""做為國內最著名的大型棒球場之一，每年在那裡都會定期舉行職棒賽事，座席可同時容納上萬人入場。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""來到棒球場前方的我，為眼前宏偉建築的氣勢所震懾，不由自主地點了點頭。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「棒球場啊……就可容納的人數來說，的確很適合舉行大型活動。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「""+MEM[""暱稱""]+""你很懂嘛。空間這麼寬廣的地方，拿來辦活動最棒了！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「不過，這附近應該有個更適合的場地吧？就是那個取名叫某某花園的夜市。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「全國各地似乎都有同名的夜市呢。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「什、什麼啦，政大提那個做什麼……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「印象中那裡現在半個遊客都沒有，空蕩蕩的一片，肯定很適合當成活動的場地。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「可輔大夜市不是已經倒了嗎？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""話才說出口，輔仁就用像要把我揉碎般的眼神狠瞪著我。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,1,"""「這是""+MEM[""姓""]+""同學說的，可不是我。」""",,,,
wait,,,,,,,,,,,,,,
0,表情,"""政大""","""喜""",,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「對啦對啦，我就是想學逢甲東海中原做夜市，想說吸引多一點人來我這裡嘛！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""哀""","""線性""",0.75,568,,,1,"""「經營不善有什麼辦法，我也不想啊！招攬人氣的手段是要加強，而且也沒做出攤位的特色……」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""輔仁喋喋不休地抱怨，而且看起來短時間內不會結束。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我深刻體驗到什麼叫「言多必失」。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""沒辦法，既然是我自己惹來的麻煩，我只得設法轉移話題。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""這時我忽然發現到，輔仁手中拿著一個牛皮紙袋。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「對了輔仁，妳手裡拿的那個牛皮紙袋是什麼？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「哦，這是聖誕舞會要用的企劃書。舞會的節目內容和流程都寫在裡面呢。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「場勘的時候，必須和企劃書核對過一遍，確定必要的設備都沒問題才行。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「聽起來非常重要。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「拿在手上甩來甩去，難道不怕會弄丟嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「用不著妳來瞎操心！」""",,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-5""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-5,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,背景,"""棒球場""",0,,,,,,,,,,,
0,旁白,,"""接近棒球場大門的我們，很快就注意到有一大群人正排成長長的隊列，似乎在等待買票進場。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「啊咧？難道說，今天也有比賽嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「比賽？妳是指棒球比賽？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「那當然，不然是指高爾夫嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「聽起來很有意思，我蠻想見識一下球打進輔仁腦洞裡的畫面。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「政大妳又在嗆我！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""樂""","""線性""",0.25,568,,,1,"""「哎呀，失禮了。看來我偶爾也會有莫名其妙的發言呢？」""",,,,
wait,,,,,,,,,,,,,,
0,表情,"""政大""","""怒""",,,,,,,,,,,
0,旁白,,"""兩名少女的目光火花四濺，爭執的聲音引來排隊群眾的側目。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「喂我說，妳們兩個能先暫時停火嗎？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「好歹妳們也代表一所大學的全體師生，別在大眾面前做出有損校譽的事比較好吧？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""哀""","""線性""",0.75,568,,,1,"""「嗚……真氣人……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""哀""","""線性""",0.25,568,,,1,"""「確實，校譽問題不可不慮。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""被我勸服的兩人總算是安分下來，默默地買票進場。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""接下來直到完成勘查工作，她們都沒有再發生過爭吵。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-6""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-6,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,旁白,"MEM[""名""]","""「對了，既然難得有球賽，我們乾脆就順便進去看看吧。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「看球賽？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「我很久沒看了，想在大考前回味一下那種激昂熱烈的氣氛。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「說得也是，說不定還有從我這裡畢業的球員上場呢！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「如果見到他們，我可得拼命幫忙加油才行！」""",,,,
wait,,,,,,,,,,,,,,
0,場景範圍解除,,,,,,,,,,,,,
0,說話,"""大葉""","""平""","""平滑""",0.99,568,0.01,568,2,"""「......」""",,,,
0,角色彩度,"""大葉""",50,50,50,,,,,,,,,
0,角色最下層顯示,"""大葉""",,,,,,,,,,,,
0,角色移除,"""大葉""",2,,,,,,,,,,,
0,場景範圍還原,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「政大，妳覺得如何？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,1,"""「……」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「政大？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「哦，我無所謂。正好也能順勢觀察場地使用的情形。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""政大好像突然有些心不在焉，是我多心了嗎？""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""雖然有點在意，但在輔仁的催促聲中，我還是暫且把這件事放到一邊，走進球場的觀眾席。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-7""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-7,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,背景,"""棒球場看台""",0,,,,,,,,,,,
0,旁白,,"""嘩──""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""進到球場裡的我們，瞬間就被震耳欲聾的聲浪淹沒。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""全身殘留的瞌睡蟲頓時消失無蹤。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「真、真驚人啊！都快聽不到別人的聲音了！」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「這樣就嚇到啦，""+MEM[""暱稱""]+""──？待會比賽時肯定會比現在更吵鬧！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,1,"""「......」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""由於我們太晚買票，所以只能坐在偏遠的二樓座位區。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,表情,"""政大""","""平""",,,,,,,,,,,
0,表情,"""輔仁""","""平""",,,,,,,,,,,
0,旁白,,"""儘管是觀眾席裡的邊緣地區，仍然擠滿了大量的球迷。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""群眾的喧鬧聲幾乎掩蓋住所有聲音，就算輔仁和政大想要吵架，顯然也是白費力氣。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""嘩──""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""在高昂的歡呼聲中，球員們陸續走進球場、站定位置。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""球賽正式開打。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""投手在球手丘上謹慎拿捏選用的球種，旋身投出。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""打者看準球飛來的位置，然後奮力揮棒。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""包括播報員在內，人們的情緒隨著球員們接連上壘、分數互相拉鋸而逐漸升溫。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""其中一支隊伍有從輔仁畢業的球員，而輔仁當然是支持那支隊伍。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"""播報員""","""『打擊出去──非常可惜，球最後落到了界外區域！』""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,表情,"""政大""","""驚""",,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「呀啊啊啊！怎、怎麼出界了啦！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""打者顯然有些心浮氣躁，接下來的打擊被下墜球欺騙，而不小心揮棒落空。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「二好了欸欸欸！穩住！穩住呀！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""經歷一次失誤後，打者彷彿在重新收拾心情般調整抓握球棒的位置，然後擺出打擊的架式。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""然後──""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,"""播報員""","""『這次球飛到了左外野──是一支左外野安打！守備出現了漏洞！所有人都在飛快跑回本壘──』""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""一個、兩個，最後是剛才的打者繞了壘包一圈後回到本壘。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""拔腿狂奔的同時，打者還不忘抽空對著觀眾席揮手。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""打者所屬球隊的支持者一方沸騰了。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""包括輔仁和我在內，所有人都站了起來高舉雙臂，扯開喉嚨大聲叫好。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""瓦斯汽笛喇叭的嘶吼、加油棒的敲擊聲和掌聲混雜而成的巨響彷彿能貫穿耳膜，直達腦髓的深處，震得我頭暈目眩。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,場景範圍解除,,,,,,,,,,,,,
0,說話,"""大葉""","""平""","""加速""",0.01,568,0.99,568,2,"""「......」""",,,,
0,角色翻轉,"""大葉""","""左右""",,,,,,,,,,,
0,角色彩度,"""大葉""",50,50,50,,,,,,,,,
0,角色最下層顯示,"""大葉""",,,,,,,,,,,,
0,角色移除,"""大葉""",2,,,,,,,,,,,
0,場景範圍還原,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「哇！得分了得分了！拉開三分了！""+MEM[""暱稱""]+""你有看到嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「哦哦，一口氣就得到三分的情況可不容易啊！妳說是吧，政大！」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,1,"""「原來如此，壘上的打者早就預判了這種情況，所以才會試著擊出安打嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我轉頭看政大時，卻見到她雙眼發光地大聲嚷嚷。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""樂""","""線性""",0.25,568,,,1,"""「而對方投手看出了打者的意圖，將目標鎖定在略為低於好球帶的位置，可惜仍然發生了失誤──」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「……」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,1,"""「……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「嘿～～好激動喔，政大。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""羞""","""線性""",0.25,568,,,1,"""「並沒有。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「明明就有。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,1,"""「就是沒有，妳搞錯了……」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""兩人的聲音旋即被轟然的喇叭聲吞沒，只能像兩個啞巴般拼命地比手畫腳。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""看著這一幕的我不禁以手扶額。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""或許她們之間的紛爭，短時間內是不太可能結束的了。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-8""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-8,,,,,,,,,,,,,
0,所有角色移除,,,,,,,,,,,,,
0,淡入,"""透明度""",100,0,1,,,,,,,,,
0,背景,"""棒球場看台""",0,,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""最後，雙方僅以一分之差結束了比賽。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「啊，滿足啦滿足啦！今天的球賽真精彩！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「對面也是意料中的強敵啊，竟然能在落後三分的局勢下打到差一點反超。」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「就是說嘛！好久沒有見過這麼刺激的對戰了。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""觀眾們準備離場時，臉上顯現的激動仍未見平復。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""這就是棒球的魅力所在。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""喜""","""線性""",0.75,568,,,1,"""「呼呼呼，看政大好像一臉很認真地在看球賽，肯定只是裝模作樣而已。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""樂""","""線性""",0.75,568,,,1,"""「畢竟政大是個文學少女嘛，文、學、少女！哦呵呵呵～～」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""故意學什麼少女漫畫裡的惡女口吻啊。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""而且我說好不容易才暫時休戰，輔仁妳別再故意挑起戰火了好吧？""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「妳錯了，雖然實力差強人意，但我們也是有棒球校隊的。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「我跟妳之間，意外有著比想像中還要多的共通點呢。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""平""","""線性""",0.75,568,,,1,"""「共通點？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「哪、哪有可能會有共通點，我跟妳這種陰沉又心機重的女生一點也不像！」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「""+MEM[""姓""]+""同學。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「別看我，我不想又被捲入妳們的戰爭裡頭──或者該說該到此為止了吧？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「那麼，就麻煩請你回答我的問題吧。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「你知道輔仁擅長的學科領域是什麼嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「學科領域？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""突然拋出這個問題……政大究竟心裡在打什麼算盤？""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我記得輔仁擅長的學科領域，應該是──""",,,,,,,,,,,
0,選項,"""文史法商等一類學科""","""執行函數包""","""[['前往章節','a1-8-1'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',1],['儲存選項記錄','q2']]""",,,,,,,,,,
0,選項,"""理工等二類學科 ""","""執行函數包""","""[['前往章節','a1-8-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q2']]""",,,,,,,,,,
0,選項,"""生醫相關的三類學科""","""執行函數包""","""[['前往章節','a1-8-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q2']]""",,,,,,,,,,
0,選項,"""農林漁牧等四類學科""","""執行函數包""","""[['前往章節','a1-8-2'],['清空預建選項記錄'],['預建選項記錄','參數增加','輔仁','好感度',0],['儲存選項記錄','q2']]""",,,,,,,,,,
wait,"""choose""",,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,a1-8-1,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「正確。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「而第一類組的文史法商等學科，同時也是我所擅長的。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""也就是說，輔仁和政大都是文組見長的學校吧。""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-9""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,a1-8-2,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,1,"""「答錯了，""+MEM[""姓""]+""同學。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,1,"""「事實上輔仁跟我，都是以文組方面的科系聞名的學校。」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「是、是這樣嗎……」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-9""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
end,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tag,c1-9,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「哼，跟陰沉心機女同樣是文組什麼的，我才不承認呢！哼！」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,,"""我能理解輔仁的心情。難以想像武力派的她，竟然也算是文組的……""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""平""","""線性""",0.25,568,,,1,"""「就算妳不願意承認，事實依然無法撼動。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「嗚嗚嗚嗚──」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「嗶嗶！暫停暫停！我們該繼續做正事了吧！」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""哀""","""線性""",0.75,568,,,1,"""「真不甘心……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""喜""","""線性""",0.25,568,,,1,"""「知道了。那麼，接下來就前往我所挑選的地點──」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「嗯？奇怪？」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「輔仁？怎麼了？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""驚""","""線性""",0.75,568,,,1,"""「我的企劃書呢？剛剛我不是還好端端地拿在手上嗎？」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""驚""","""線性""",0.25,568,,,1,"""「……」""",,,,
wait,,,,,,,,,,,,,,
0,旁白,"MEM[""名""]","""「企劃書……是說那只牛皮紙袋？」""",,,,,,,,,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""哀""","""線性""",0.25,568,,,1,"""「看來企劃書遺失了呢，果然不出所料。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,1,"""「如果沒有企劃書，就無法核對場地需求、確認必要的設備。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""政大""","""怒""","""線性""",0.25,568,,,1,"""「接下來的場勘，也得被迫中止了。」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""哀""","""線性""",0.75,568,,,1,"""「奇怪，我也只有站起來歡呼時，暫時把企劃書放在座位上而已……」""",,,,
wait,,,,,,,,,,,,,,
0,說話,"""輔仁""","""怒""","""線性""",0.75,568,,,1,"""「肯定是掉在附近！」""",,,,
wait,,,,,,,,,,,,,,
0,淡出,"""透明度""",0,100,1,,,,,,,,,
wait,,,,,,,,,,,,,,
0,前往章節,"""c1-10""",,,,,,,,,,,,
wait,,,,,,,,,,,,,,
